13,30031,167
13,60061,587
13,90091,125
13,120121,359
13,150151,227
13,180181,214
13,210211,137
13,240241,479
13,270271,479
13,300301,1523
13,330331,167
13,360361,1019
13,390391,137
13,420421,167
13,450451,389
13,480481,1103
13,510511,317
13,540541,47
13,570571,466
13,600601,293
13,630631,173
13,660661,1619
13,690691,233
13,720721,358
13,750751,107
13,780781,1367
13,810811,1138
13,840841,334
13,870871,586
13,900901,359
13,930931,1049
13,960961,177
13,990991,179
13,1021021,694
13,1051051,467
13,1081081,214
13,1111111,263
13,1141141,358
13,1171171,557
13,1201201,83
13,1231231,47
13,1261261,179
13,1291291,317
13,1321321,162
13,1351351,563
13,1381381,227
13,1411411,359
13,1441441,3467
13,1471471,269
13,1501501,3203
13,1531531,179
13,1561561,2207
13,1591591,167
13,1621621,479
13,1651651,1174
13,1681681,563
13,1711711,563
13,1741741,227
13,1771771,1019
13,1801801,347
13,1831831,269
13,1861861,934
13,1891891,167
13,1921921,47
13,1951951,1283
13,1981981,863
13,2012011,977
13,2042041,887
13,2072071,1637
13,2102101,863
13,2132131,162
13,2162161,383
13,2192191,514
13,2222221,467
13,2252251,137
13,2282281,1077
13,2312311,173
13,2342341,107
13,2372371,346
13,2402401,81
13,2432431,83
13,2462461,358
13,2492491,317
13,2522521,167
13,2552551,1217
13,2582581,1493
13,2612611,47
13,2642641,2767
13,2672671,1306
13,2702701,2243
13,2732731,1553
13,2762761,479
13,2792791,797
13,2822821,167
13,2852851,214
13,2882881,359
13,2912911,167
13,2942941,567
13,2972971,569
13,3003001,179
13,3033031,593
13,3063061,1019
13,3093091,778
13,3123121,1907
13,3153151,1019
13,3183181,227
13,3213211,173
13,3243241,467
13,3273271,647
13,3303301,47
13,3333331,479
13,3363361,214
13,3393391,233
13,3423421,467
13,3453451,538
13,3483481,1319
13,3513511,479
13,3543541,227
13,3573571,118
13,3603601,1546
13,3633631,179
13,3663661,83
13,3693691,125
13,3723721,467
13,3753751,587
13,3783781,321
13,3813811,389
13,3843841,1187
13,3873871,274
13,3903901,359
13,3933931,107
13,3963961,243
13,3993991,47
13,4024021,162
13,4054051,479
13,4084081,167
13,4114111,1319
13,4144141,1077
13,4174171,233
13,4204201,179
13,4234231,1109
13,4264261,214
13,4294291,137
13,4324321,263
13,4354351,188
13,4384381,167
13,4414411,2638
13,4444441,214
13,4474471,137
13,4504501,839
13,4534531,479
