13,4,10,3
17,8,14,3
29,12,28,8
37,10,34,12
41,8,36,14
53,10,52,21
61,12,56,22
73,16,70,27
89,8,84,38
97,8,94,43
101,4,88,42
109,12,102,45
113,30,112,41
137,8,128,60
149,20,148,64
157,4,130,63
173,4,164,80
181,14,170,78
193,6,176,85
197,14,196,91
229,12,218,103
233,14,218,102
241,24,236,106
257,8,246,119
269,16,260,122
277,22,250,114
281,16,248,116
293,30,284,127
313,2,274,136
317,10,308,149
337,6,328,161
349,20,344,162
353,8,342,167
373,10,356,173
389,20,358,169
397,22,394,186
401,16,380,182
409,16,390,187
421,12,394,191
433,8,424,208
449,32,430,199
457,24,448,212
461,44,452,204
509,20,496,238
521,20,510,245
541,12,526,257
557,36,542,253
569,14,560,273
577,8,524,258
593,8,544,268
601,46,588,271
613,10,542,266
617,18,566,274
641,26,622,298
653,22,652,315
661,12,650,319
673,36,664,314
677,6,648,321
701,36,688,326
709,20,674,327
733,26,702,338
757,10,748,369
761,78,742,332
769,16,758,371
773,4,762,379
797,16,762,373
809,18,790,386
821,48,820,386
829,20,816,398
853,40,812,386
857,66,854,394
877,30,840,405
881,8,856,424
929,18,924,453
937,24,928,452
941,4,932,464
953,28,938,455
977,8,946,469
997,48,972,462
1009,20,1000,490
1013,54,986,466
1021,32,988,478
1033,24,1014,495
1049,20,1044,512
1061,20,1060,520
1069,12,1040,514
1093,34,1080,523
1097,66,1094,514
1109,20,1088,534
1117,28,1054,513
1129,42,1114,536
1153,82,1118,518
1181,24,1150,563
1193,36,1162,563
1201,14,1158,572
1213,34,1192,579
1217,32,1166,567
1229,72,1228,578
1237,4,1232,614
1249,72,1210,569
1277,36,1268,616
1289,50,1256,603
1297,46,1184,569
1301,20,1288,634
1321,36,1310,637
1361,46,1336,645
1373,40,1332,646
1381,48,1364,658
1409,44,1390,673
1429,52,1402,675
1433,36,1430,697
1453,76,1444,684
1481,32,1472,720
1489,24,1464,720
1493,36,1482,723
1549,36,1522,743
1553,24,1536,756
1597,74,1566,746
1601,38,1556,759
1609,48,1596,774
1613,16,1514,749
1621,44,1606,781
1637,38,1624,793
1657,16,1648,816
1669,48,1620,786
1693,40,1658,809
1697,36,1674,819
1709,26,1708,841
1721,68,1716,824
1733,36,1702,833
1741,34,1726,846
1753,82,1742,830
1777,44,1774,865
1789,78,1772,847
1801,72,1780,854
1861,36,1852,908
1873,2,1796,897
1877,46,1866,910
1889,42,1868,913
1901,16,1888,936
1913,32,1856,912
1933,20,1872,926
1949,54,1910,928
1973,40,1920,940
1993,32,1984,976
1997,14,1996,991
2017,22,2004,991
2029,34,1988,977
2053,82,2022,970
2069,62,2044,991
2081,2,2040,1019
2089,2,1960,979
2113,24,2080,1028
2129,80,2120,1020
2137,18,2112,1047
2141,34,2056,1011
2153,14,2124,1055
2161,32,2106,1037
2213,50,2194,1072
2221,12,2184,1086
2237,50,2236,1093
2269,44,2232,1094
2273,36,2242,1103
2281,44,2256,1106
2293,48,2226,1089
2297,34,2276,1121
2309,30,2226,1098
2333,124,2332,1104
2341,34,2328,1147
2357,4,2330,1163
2377,2,2344,1171
2381,20,2280,1130
2389,28,2324,1148
2393,8,2322,1157
2417,30,2296,1133
2437,58,2406,1174
2441,18,2420,1201
2473,68,2456,1194
2477,60,2466,1203
2521,70,2500,1215
2549,130,2536,1203
2557,44,2534,1245
2593,64,2584,1260
2609,30,2528,1249
2617,64,2590,1263
2621,30,2540,1255
2633,8,2522,1257
2657,8,2648,1320
2677,30,2604,1287
2689,60,2664,1302
2693,60,2624,1282
2713,52,2698,1323
2729,40,2718,1339
2741,76,2696,1310
2749,88,2744,1328
2753,46,2654,1304
2777,26,2760,1367
2789,64,2754,1345
2797,40,2734,1347
2801,66,2762,1348
2833,48,2796,1374
2837,54,2784,1365
2857,102,2838,1368
2861,112,2838,1363
2897,26,2860,1417
2909,86,2888,1401
2917,126,2898,1386
2953,58,2878,1410
2957,38,2904,1433
2969,24,2960,1468
3001,44,2976,1466
3037,36,3034,1499
3041,122,3036,1457
3049,14,3008,1497
3061,78,3034,1478
3089,4,3000,1498
3109,56,2980,1462
3121,114,3090,1488
3137,66,3122,1528
3169,60,3152,1546
3181,100,3150,1525
3209,72,3164,1546
3217,16,3102,1543
3221,34,3086,1526
3229,64,3222,1579
3253,114,3250,1568
3257,22,3226,1602
3301,12,3260,1624
3313,118,3304,1593
